               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.043493,            0.014823,            0.010538,              0.7821,                 0.9,               0.945,             0.59045,            0.026832,           0.0080571,           0.0050698,           0.0081982,           0.0081982,           0.0081982
                  93,            0.043238,            0.016536,            0.010188,             0.71371,             0.90756,             0.87952,             0.41881,            0.033466,           0.0080134,           0.0047809,           0.0081784,           0.0081784,           0.0081784
                  94,            0.041015,            0.012673,            0.010245,             0.71371,             0.90756,             0.87952,             0.41881,            0.033466,           0.0080134,           0.0047809,           0.0081586,           0.0081586,           0.0081586
                  95,             0.04711,            0.013699,            0.014098,             0.80858,                   1,             0.95215,             0.71617,            0.025269,           0.0078828,           0.0049482,           0.0081388,           0.0081388,           0.0081388
                  96,            0.041622,             0.01451,            0.011268,             0.80858,                   1,             0.95215,             0.71617,            0.025269,           0.0078828,           0.0049482,            0.008119,            0.008119,            0.008119
                  97,            0.043878,            0.015404,            0.010864,              0.8019,                   1,             0.91944,             0.44822,            0.028531,           0.0080404,            0.005002,           0.0080992,           0.0080992,           0.0080992
                  98,            0.038813,            0.011774,           0.0088915,              0.8019,                   1,             0.91944,             0.44822,            0.028531,           0.0080404,            0.005002,           0.0080794,           0.0080794,           0.0080794
                  99,            0.039446,            0.014011,           0.0073594,             0.51602,                   1,             0.83094,             0.42132,            0.029708,            0.007857,           0.0050126,           0.0080596,           0.0080596,           0.0080596
                 100,            0.053685,            0.011304,           0.0065804,             0.51602,                   1,             0.83094,             0.42132,            0.029708,            0.007857,           0.0050126,           0.0080398,           0.0080398,           0.0080398
                 101,            0.050958,            0.014019,           0.0075632,             0.71269,                   1,             0.93256,             0.61379,            0.024763,           0.0076177,            0.005022,             0.00802,             0.00802,             0.00802
                 102,            0.048479,             0.01599,           0.0086366,             0.71269,                   1,             0.93256,             0.61379,            0.024763,           0.0076177,            0.005022,           0.0080002,           0.0080002,           0.0080002
                 103,            0.046608,            0.011758,           0.0090486,             0.82605,                   1,             0.94946,             0.50725,            0.028164,           0.0075436,           0.0045444,           0.0079804,           0.0079804,           0.0079804
                 104,            0.045389,            0.011442,            0.014961,             0.82605,                   1,             0.94946,             0.50725,            0.028164,           0.0075436,           0.0045444,           0.0079606,           0.0079606,           0.0079606
                 105,            0.045969,            0.011573,           0.0074026,             0.79088,                   1,             0.80844,             0.43183,            0.029465,           0.0076726,           0.0047388,           0.0079408,           0.0079408,           0.0079408
                 106,             0.04866,            0.012402,           0.0075605,             0.79088,                   1,             0.80844,             0.43183,            0.029465,           0.0076726,           0.0047388,            0.007921,            0.007921,            0.007921
